Product,CVE Name,Publisher,CVE Severity,CVSS 3 Vector,In CISA  S KEV,CVE Publish Date,CVSS 3 Base Score,CVE Detected Date,CVSS 2 Base Score,Patch Release Date,Vulnerability Link,Vulnerability Summary,CVSS 3 Exploitability Score,Patch,Edition,Version,Endpoint,Sub Version,Organization,Product Raw Entry
.NET,CVE-2021-27434,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,No,05/20/21 14:15:00,7.5,01/21/26 15:53:27,5,N/A,https://www.vicarius.io/vsociety/vulnerabilities/277232/CVE-2021-27434,"Products with Unified Automation .NET based OPC UA Client/Server SDK Bundle: Versions V3.0.7 and prior (.NET 4.5, 4.0, and 3.5 Framework versions only) are vulnerable to an uncontrolled recursion, which may allow an attacker to trigger a stack overflow.",3.9,,,4.0,CIPLL16-SURESH,*,Claimpower,Microsoft_.NET Framework 4.0 Full_4.0_x64_
Asp.net Core,CVE-2024-21386,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,No,02/13/24 18:15:00,7.5,01/22/26 05:14:32,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/352339/CVE-2024-21386,.NET Denial of Service Vulnerability,3.9,,,7.0.10,CIPLL20-SHWETA,*,Claimpower,Microsoft Corporation_Microsoft ASP.NET Core 7.0.10 - Shared Framework (x86)_7.0.10.23364_x64_
.NET,CVE-2021-27434,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,No,05/20/21 14:15:00,7.5,01/21/26 08:21:45,5,N/A,https://www.vicarius.io/vsociety/vulnerabilities/277232/CVE-2021-27434,"Products with Unified Automation .NET based OPC UA Client/Server SDK Bundle: Versions V3.0.7 and prior (.NET 4.5, 4.0, and 3.5 Framework versions only) are vulnerable to an uncontrolled recursion, which may allow an attacker to trigger a stack overflow.",3.9,,,4.0,CIPLL10-MUBINA,*,Claimpower,Microsoft_.NET Framework 4.0 Full_4.0_x64_
.NET,CVE-2021-27434,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,No,05/20/21 14:15:00,7.5,01/22/26 06:55:46,5,N/A,https://www.vicarius.io/vsociety/vulnerabilities/277232/CVE-2021-27434,"Products with Unified Automation .NET based OPC UA Client/Server SDK Bundle: Versions V3.0.7 and prior (.NET 4.5, 4.0, and 3.5 Framework versions only) are vulnerable to an uncontrolled recursion, which may allow an attacker to trigger a stack overflow.",3.9,,,4.0,CIPLLP-RUNALI,*,Claimpower,Microsoft_.NET Framework 4.0 Full_4.0_x64_
.NET,CVE-2023-36049,Microsoft,Critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,No,11/14/23 21:15:00,9.8,01/22/26 05:13:25,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/344796/CVE-2023-36049,".NET, .NET Framework, and Visual Studio Elevation of Privilege Vulnerability",3.9,,,7.0.10,CIPLL20-SHWETA,*,Claimpower,Microsoft Corporation_Microsoft .NET Runtime - 7.0.10 (x64)_56.43.64668_x64_
Asp.net Core,CVE-2025-26682,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,No,04/08/25 18:15:00,7.5,01/22/26 06:57:21,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/402445/CVE-2025-26682,Allocation of resources without limits or throttling in ASP.NET Core allows an unauthorized attacker to deny service over a network.,3.9,,,8.0.6,CIPLLP-RUNALI,*,Claimpower,Microsoft Corporation_Microsoft ASP.NET Core 8.0.6 Targeting Pack (x64)_8.0.6.24269_x64_
SQL Server 2022,CVE-2025-49719,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,No,07/08/25 17:15:00,7.5,01/21/26 04:06:32,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/414337/CVE-2025-49719,Improper input validation in SQL Server allows an unauthorized attacker to disclose information over a network.,3.9,,,16.0.1000.6,CIPLL23-SWAPNIL,*,Claimpower,Microsoft Corporation_Browser for SQL Server 2022_16.0.1000.6_x64_
Asp.net Core,CVE-2025-26682,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,No,04/08/25 18:15:00,7.5,01/23/26 02:40:40,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/402445/CVE-2025-26682,Allocation of resources without limits or throttling in ASP.NET Core allows an unauthorized attacker to deny service over a network.,3.9,,,8.0.6,CIPLLP-POOJA,*,Claimpower,Microsoft Corporation_Microsoft ASP.NET Core 8.0.6 Targeting Pack (x64)_8.0.6.24269_x64_
SQL Server 2022,CVE-2025-55227,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,No,09/09/25 17:16:00,8.8,01/21/26 04:06:32,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/422076/CVE-2025-55227,Improper neutralization of special elements used in a command (command injection) in SQL Server allows an authorized attacker to elevate privileges over a network.,2.8,,,16.0.1000.6,CIPLL23-SWAPNIL,*,Claimpower,Microsoft Corporation_Browser for SQL Server 2022_16.0.1000.6_x64_
SQL Server 2022,CVE-2025-53727,Microsoft,High,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,No,08/12/25 18:15:00,8.8,01/21/26 04:06:32,0,N/A,https://www.vicarius.io/vsociety/vulnerabilities/418461/CVE-2025-53727,Improper neutralization of special elements used in an sql command (sql injection) in SQL Server allows an authorized attacker to elevate privileges over a network.,2.8,,,16.0.1000.6,CIPLL23-SWAPNIL,*,Claimpower,Microsoft Corporation_Browser for SQL Server 2022_16.0.1000.6_x64_
