Endpoint,IP,OS,Group,Agent Version,System status,First Seen,Last Seen,Antivirus Database Version,EPP Best Practice,Open Alerts,Vulnerabilities,Misconfigurations
rs-ws-web-1,10.20.73.110,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"01 Dec 2025, 05:33","21 Feb 2026, 16:04",8.20.72.206,No,0,0,0
rs-ws-mbl-1,10.20.74.20,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"01 Dec 2025, 05:30","21 Feb 2026, 16:08",8.20.72.216,No,0,0,0
rs-ws-kym-2,10.20.74.134,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"01 Dec 2025, 05:33","21 Feb 2026, 16:08",8.20.72.206,No,0,0,0
rs-ws-kym-1,10.20.78.252,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"01 Dec 2025, 05:33","21 Feb 2026, 16:08",8.20.72.216,No,0,0,0
rs-ws-bo-1,10.20.72.37,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"01 Dec 2025, 05:30","21 Feb 2026, 16:07",8.20.72.206,No,0,0,0
payment-prod-mysql,10.20.90.202,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"01 Dec 2025, 05:30","21 Feb 2026, 16:08",8.20.72.216,No,0,0,0
nextOptions-uat-webapp,10.40.39.177,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"19 Feb 2026, 00:30","21 Feb 2026, 16:08",8.20.72.216,No,0,0,0
nextOptions-uat-backend,10.40.32.218,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"19 Feb 2026, 00:43","21 Feb 2026, 16:09",8.20.72.216,No,0,0,0
mstock-pt-06-windows,10.40.101.59,Windows,Manually Installed Agents,4.31.0.19214,OK,"20 Feb 2026, 09:17","21 Feb 2026, 16:05",N/A,Yes,0,9,17
mstock-pt-05,10.40.64.182,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"01 Dec 2025, 08:04","20 Feb 2026, 23:00",8.20.72.202,No,0,0,0
mstock-pt-04,10.40.64.149,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"01 Dec 2025, 08:04","20 Feb 2026, 23:00",8.20.72.202,No,0,0,0
mstock-pt-03,10.40.64.198,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"01 Dec 2025, 08:04","20 Feb 2026, 23:00",8.20.72.202,No,0,0,0
mstock-pt-02,10.40.64.188,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"01 Dec 2025, 08:04","20 Feb 2026, 23:00",8.20.72.202,No,0,0,0
mstock-pt-01,10.40.64.48,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"01 Dec 2025, 08:04","20 Feb 2026, 23:00",8.20.72.202,No,0,0,0
mpowa,192.168.101.225,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"01 Dec 2025, 05:31","21 Feb 2026, 16:05",8.20.72.206,No,0,0,0
mpofs,192.168.101.226,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"01 Dec 2025, 05:31","21 Feb 2026, 16:06",8.20.72.206,No,0,0,0
mpesg,192.168.101.224,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"01 Dec 2025, 05:32","21 Feb 2026, 16:08",8.20.72.212,No,0,0,0
miraeserver2,192.168.202.119,Linux,Manually Installed Agents - Linux,4.30.0.15643,OK,"01 Dec 2025, 05:31","03 Feb 2026, 18:15",8.20.70.62,Yes,0,0,0
miraeserver,192.168.202.118,Linux,Manually Installed Agents - Linux,4.30.0.15643,OK,"01 Dec 2025, 05:34","03 Feb 2026, 17:21",8.20.70.62,Yes,0,0,0
mafeed03,192.168.101.68,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"30 Dec 2025, 17:26","21 Feb 2026, 16:08",8.20.72.206,No,0,0,0
mafeed,192.168.101.69,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"01 Dec 2025, 05:31","21 Feb 2026, 16:07",8.20.72.206,No,0,0,0
macmztnapoc,192.168.101.244,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"01 Dec 2025, 05:32","21 Feb 2026, 16:08",8.20.72.206,No,0,0,0
macmd708,172.20.30.201,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 08:46","20 Feb 2026, 17:39",8.20.72.192,Yes,0,2,57
macmd707,172.20.30.11,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 05:32","21 Feb 2026, 16:08",8.20.72.186,Yes,0,2,56
macmd564,172.20.110.14,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 05:32","21 Feb 2026, 16:02",8.20.72.186,Yes,0,1,50
macmd562,172.20.80.158,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 06:53","21 Feb 2026, 16:02",8.20.72.186,Yes,0,10,54
macmd395,172.20.121.29,Windows,Manually Installed Agents,4.31.0.19214,OK,"08 Dec 2025, 09:11","20 Feb 2026, 18:29",8.20.72.186,Yes,0,3,56
macmd390,172.20.80.241,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 09:15","21 Feb 2026, 12:29",8.20.72.192,Yes,0,2,56
macmd384,172.20.70.134,Windows,Manually Installed Agents,4.30.1.19100,OK,"01 Dec 2025, 05:35","04 Feb 2026, 12:16",8.20.71.172,Yes,0,69,55
macmd382,172.20.80.174,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 08:00","20 Feb 2026, 19:26",8.20.72.192,Yes,0,2,54
macmd381,172.20.80.204,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 05:33","21 Feb 2026, 16:06",8.20.72.186,Yes,0,18,54
macmd378,172.20.110.98,Windows,Manually Installed Agents,4.31.0.19214,OK,"01 Dec 2025, 08:18","21 Feb 2026, 15:58",8.20.72.192,Yes,0,3,57
macm-ocs,192.168.101.130,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"01 Dec 2025, 05:30","21 Feb 2026, 16:05",8.20.72.206,No,0,0,0
macm-HP-Pro-Tower-280-G9-E-PCI-Desktop-PC,172.20.80.147,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"01 Dec 2025, 05:34","21 Feb 2026, 16:06",8.20.72.206,No,0,0,0
ma-nxtopt-feed1-dc,192.168.152.19,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"09 Feb 2026, 17:10","16 Feb 2026, 18:03",8.20.72.48,Yes,0,0,0
ma-nxtopt-f1,172.20.80.77,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"01 Dec 2025, 05:33","17 Feb 2026, 11:47",8.20.72.152,Yes,0,0,0
ma-bxadp-06-dc,192.168.152.18,Linux,Manually Installed Agents - Linux,4.30.0.15643,OK,"26 Dec 2025, 12:25","03 Feb 2026, 17:48",8.20.71.176,Yes,0,0,0
ma-bxadp-06-dc,192.168.152.18,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"04 Feb 2026, 18:41","21 Feb 2026, 16:04",8.20.72.206,No,0,0,0
ma-bxadp-05-dc-ntt,192.168.152.17,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"13 Feb 2026, 20:05","13 Feb 2026, 20:43",8.20.72.104,Yes,2,0,0
ma-bxadp-05-dc,192.168.152.17,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"26 Dec 2025, 12:39","13 Feb 2026, 19:22",8.20.71.176,Yes,0,0,0
ma-bxadp-05-dc,10.222.37.146,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"13 Feb 2026, 20:07","21 Feb 2026, 16:04",8.20.72.206,No,0,0,0
ma-bxadp-04-dc-ntt,192.168.152.102,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"13 Feb 2026, 16:52","13 Feb 2026, 19:29",8.20.72.98,Yes,0,0,0
ma-bxadp-04-dc,192.168.152.16,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"26 Dec 2025, 12:42","21 Feb 2026, 16:08",8.20.72.206,No,0,0,0
ma-bxadp-03-dc,192.168.152.15,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"17 Feb 2026, 16:57","21 Feb 2026, 16:05",8.20.72.206,No,0,0,0
ma-bxadp-03-dc,192.168.152.15,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"26 Dec 2025, 12:42","17 Feb 2026, 16:05",8.20.72.108,Yes,0,0,0
ma-bxadp-02-dc,10.222.37.146,Linux,Manually Installed Agents - Linux,4.31.0.16354,OK,"26 Dec 2025, 12:35","17 Feb 2026, 16:54",8.20.72.156,Yes,0,0,0
