Resource Name,Cloud Provider ID,Object Type,Native Type,Tags,Subscription,Projects,Cloud Provider,Policy ID,Policy Short Name,Policy Name,Policy Type,Severity,Result,Compliance Check Name (Wiz Subcategory),Category,Framework,Remediation Steps,Assessed At,Created At,Updated At,Subscription Name,Subscription Provider ID,Resource ID,Resource Region,Resource Cloud Platform
rl-dna-na-automation-dss-eks-cluster-managed-ng-Node,arn:aws:ec2:us-east-1:799988011707:instance/i-05c9359109efdc1f2,CloudPlatform/VirtualMachine,EC2 Instance,"{ ""nodegroup-role"":""worker"", ""alpha.eksctl.io/nodegroup-name"":""managed-ng"", ""aws:ec2:fleet-id"":""fleet-453f279f-3e2e-4e2d-2630-2388db18224b"", ""aws:ec2launchtemplate:version"":""1"", ""Name"":""rl-dna-na-automation-dss-eks-cluster-managed-ng-Node"", ""Project"":""dataiku"", ""alpha.eksctl.io/nodegroup-type"":""managed"", ""application"":""dataiku"", ""aws:eks:cluster-name"":""rl-dna-na-automation-dss-eks-cluster"", ""Project Owner"":""nandakumar.sudha@ralphlauren.com"", ""k8s.io/cluster-autoscaler/enabled"":""true"", ""aws:autoscaling:groupName"":""eks-managed-ng-58ca4c81-57fe-1510-cfa4-7cbea1417d3c"", ""eks:nodegroup-name"":""managed-ng"", ""kubernetes.io/cluster/rl-dna-na-automation-dss-eks-cluster"":""owned"", ""k8s.io/cluster-autoscaler/rl-dna-na-automation-dss-eks-cluster"":""owned"", ""aws:ec2launchtemplate:id"":""lt-059fc093fdeb366a4"", ""Cost Center"":""1000100527"", ""eks:cluster-name"":""rl-dna-na-automation-dss-eks-cluster"" }",7741cf6a-c274-53f0-a818-5a4d0306d637,"492448e6-282b-5e8b-af68-9fcac93af40e, f91014ba-8e7b-5725-ae1c-bdc240824aec",AWS,dfa75071-9832-40f1-83f6-fdf0bb6c6f04,EC2-013,EC2 instance should use an instance profile,Cloud Configuration Rule,MEDIUM,Pass,1.18 Ensure IAM instance roles are used for AWS resource access from instances - Level 2 (Automated),1 Identity and Access Management,CIS AWS v2.0.0,"Perform the following command to associate an instance profile with an EC2 instance via AWS CLI:    
```
aws ec2 associate-iam-instance-profile --iam-instance-profile Name=<instanceProfileName> --instance-id {{instanceId}}
```",2026-01-13T15:53:24Z,2026-01-13T15:53:28Z,2026-01-13T15:53:28Z,RL-PROD,799988011707,8f864511-16b7-5c7d-acae-f6f8f3bc3c65,us-east-1,AWS
rl-dna-na-automation-dss-eks-cluster-managed-ng-Node,arn:aws:ec2:us-east-1:799988011707:instance/i-05c9359109efdc1f2,CloudPlatform/VirtualMachine,EC2 Instance,"{ ""aws:ec2launchtemplate:id"":""lt-059fc093fdeb366a4"", ""Project Owner"":""nandakumar.sudha@ralphlauren.com"", ""application"":""dataiku"", ""eks:nodegroup-name"":""managed-ng"", ""kubernetes.io/cluster/rl-dna-na-automation-dss-eks-cluster"":""owned"", ""alpha.eksctl.io/nodegroup-name"":""managed-ng"", ""aws:ec2:fleet-id"":""fleet-453f279f-3e2e-4e2d-2630-2388db18224b"", ""Cost Center"":""1000100527"", ""alpha.eksctl.io/nodegroup-type"":""managed"", ""k8s.io/cluster-autoscaler/enabled"":""true"", ""Name"":""rl-dna-na-automation-dss-eks-cluster-managed-ng-Node"", ""Project"":""dataiku"", ""aws:autoscaling:groupName"":""eks-managed-ng-58ca4c81-57fe-1510-cfa4-7cbea1417d3c"", ""nodegroup-role"":""worker"", ""aws:ec2launchtemplate:version"":""1"", ""k8s.io/cluster-autoscaler/rl-dna-na-automation-dss-eks-cluster"":""owned"", ""aws:eks:cluster-name"":""rl-dna-na-automation-dss-eks-cluster"", ""eks:cluster-name"":""rl-dna-na-automation-dss-eks-cluster"" }",7741cf6a-c274-53f0-a818-5a4d0306d637,"492448e6-282b-5e8b-af68-9fcac93af40e, f91014ba-8e7b-5725-ae1c-bdc240824aec",AWS,a3a27840-3ef8-493a-b694-6d948af563e8,EC2-004,EC2 instance should use IMDSv2,Cloud Configuration Rule,HIGH,Pass,5.6 Ensure that EC2 Metadata Service only allows IMDSv2 - Level 1 (Automated),5 Networking,CIS AWS v2.0.0,"Perform the following command to configure EC2 to only allow the use of IMDSv2 via AWS CLI:  
```  
aws ec2 modify-instance-metadata-options --instance-id {{instanceId}} --http-tokens required --http-endpoint enabled  
```
>**Note**  
>It is recommended to make sure the EC2's software supports IMDSv2 prior to performing this command.  
>Follow [this link](https://docs.aws.amazon.com/elasticbeanstalk/latest/dg/environments-cfg-ec2-imds.html) for things to take into consideration before switching over to using only IMDSv2, and [this link](https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/instance-metadata-transition-to-version-2.html) for tools and recommendations for performing the transition.",2026-01-13T15:53:24Z,2026-01-13T15:53:27Z,2026-01-13T15:53:27Z,RL-PROD,799988011707,8f864511-16b7-5c7d-acae-f6f8f3bc3c65,us-east-1,AWS
rl-dna-na-prod-dss-eks-cluster-managed-ng-Node,arn:aws:ec2:us-east-1:799988011707:instance/i-01796629799686dcb,CloudPlatform/VirtualMachine,EC2 Instance,"{ ""aws:ec2:fleet-id"":""fleet-4795279f-9e2c-e4a5-a490-8b02c329ec00"", ""aws:ec2launchtemplate:id"":""lt-0d4e9c71fb4d523a0"", ""nodegroup-role"":""worker"", ""Name"":""rl-dna-na-prod-dss-eks-cluster-managed-ng-Node"", ""Project"":""dataiku"", ""alpha.eksctl.io/nodegroup-name"":""managed-ng"", ""eks:nodegroup-name"":""managed-ng"", ""k8s.io/cluster-autoscaler/enabled"":""true"", ""eks:cluster-name"":""rl-dna-na-prod-dss-eks-cluster"", ""k8s.io/cluster-autoscaler/rl-dna-na-prod-dss-eks-cluster"":""owned"", ""kubernetes.io/cluster/rl-dna-na-prod-dss-eks-cluster"":""owned"", ""aws:ec2launchtemplate:version"":""1"", ""alpha.eksctl.io/nodegroup-type"":""managed"", ""aws:autoscaling:groupName"":""eks-managed-ng-02cd1861-38d3-0a95-b12c-1e1a62784554"", ""aws:eks:cluster-name"":""rl-dna-na-prod-dss-eks-cluster"", ""Project Owner"":""nandakumar.sudha@ralphlauren.com"", ""Cost Center"":""1000100527"" }",7741cf6a-c274-53f0-a818-5a4d0306d637,"492448e6-282b-5e8b-af68-9fcac93af40e, f91014ba-8e7b-5725-ae1c-bdc240824aec",AWS,a3a27840-3ef8-493a-b694-6d948af563e8,EC2-004,EC2 instance should use IMDSv2,Cloud Configuration Rule,HIGH,Pass,5.6 Ensure that EC2 Metadata Service only allows IMDSv2 - Level 1 (Automated),5 Networking,CIS AWS v2.0.0,"Perform the following command to configure EC2 to only allow the use of IMDSv2 via AWS CLI:  
```  
aws ec2 modify-instance-metadata-options --instance-id {{instanceId}} --http-tokens required --http-endpoint enabled  
```
>**Note**  
>It is recommended to make sure the EC2's software supports IMDSv2 prior to performing this command.  
>Follow [this link](https://docs.aws.amazon.com/elasticbeanstalk/latest/dg/environments-cfg-ec2-imds.html) for things to take into consideration before switching over to using only IMDSv2, and [this link](https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/instance-metadata-transition-to-version-2.html) for tools and recommendations for performing the transition.",2026-01-13T15:53:24Z,2026-01-13T15:53:26Z,2026-01-13T15:53:26Z,RL-PROD,799988011707,cd0aae40-860c-5ca2-b8a3-c31184ac1fbd,us-east-1,AWS
rl-dna-na-prod-dss-eks-cluster-managed-ng-Node,arn:aws:ec2:us-east-1:799988011707:instance/i-01796629799686dcb,CloudPlatform/VirtualMachine,EC2 Instance,"{ ""Name"":""rl-dna-na-prod-dss-eks-cluster-managed-ng-Node"", ""aws:ec2launchtemplate:version"":""1"", ""k8s.io/cluster-autoscaler/enabled"":""true"", ""aws:ec2launchtemplate:id"":""lt-0d4e9c71fb4d523a0"", ""kubernetes.io/cluster/rl-dna-na-prod-dss-eks-cluster"":""owned"", ""Project"":""dataiku"", ""aws:autoscaling:groupName"":""eks-managed-ng-02cd1861-38d3-0a95-b12c-1e1a62784554"", ""eks:cluster-name"":""rl-dna-na-prod-dss-eks-cluster"", ""Project Owner"":""nandakumar.sudha@ralphlauren.com"", ""alpha.eksctl.io/nodegroup-name"":""managed-ng"", ""Cost Center"":""1000100527"", ""eks:nodegroup-name"":""managed-ng"", ""aws:ec2:fleet-id"":""fleet-4795279f-9e2c-e4a5-a490-8b02c329ec00"", ""nodegroup-role"":""worker"", ""alpha.eksctl.io/nodegroup-type"":""managed"", ""aws:eks:cluster-name"":""rl-dna-na-prod-dss-eks-cluster"", ""k8s.io/cluster-autoscaler/rl-dna-na-prod-dss-eks-cluster"":""owned"" }",7741cf6a-c274-53f0-a818-5a4d0306d637,"492448e6-282b-5e8b-af68-9fcac93af40e, f91014ba-8e7b-5725-ae1c-bdc240824aec",AWS,dfa75071-9832-40f1-83f6-fdf0bb6c6f04,EC2-013,EC2 instance should use an instance profile,Cloud Configuration Rule,MEDIUM,Pass,1.18 Ensure IAM instance roles are used for AWS resource access from instances - Level 2 (Automated),1 Identity and Access Management,CIS AWS v2.0.0,"Perform the following command to associate an instance profile with an EC2 instance via AWS CLI:    
```
aws ec2 associate-iam-instance-profile --iam-instance-profile Name=<instanceProfileName> --instance-id {{instanceId}}
```",2026-01-13T15:53:24Z,2026-01-13T15:53:26Z,2026-01-13T15:53:26Z,RL-PROD,799988011707,cd0aae40-860c-5ca2-b8a3-c31184ac1fbd,us-east-1,AWS
arn:aws:ec2:us-east-1:799988011707:instance/i-0b19035c2d11b02c7,arn:aws:ec2:us-east-1:799988011707:instance/i-0b19035c2d11b02c7,CloudPlatform/VirtualMachine,EC2 Instance,"{ ""costcenter"":""1000100527"", ""role"":""emr"", ""aws:elasticmapreduce:instance-group-role"":""CORE"", ""environment"":""prod"", ""owner"":""gopinath.kona@RalphLauren.com"", ""region"":""na"", ""Deploy"":""emr-master-trans"", ""Project"":""migration"", ""aws:elasticmapreduce:job-flow-id"":""j-BQFPQ74KCH4Y"", ""application"":""emr"" }",7741cf6a-c274-53f0-a818-5a4d0306d637,"492448e6-282b-5e8b-af68-9fcac93af40e, f91014ba-8e7b-5725-ae1c-bdc240824aec",AWS,a3a27840-3ef8-493a-b694-6d948af563e8,EC2-004,EC2 instance should use IMDSv2,Cloud Configuration Rule,HIGH,Fail,5.6 Ensure that EC2 Metadata Service only allows IMDSv2 - Level 1 (Automated),5 Networking,CIS AWS v2.0.0,"Perform the following command to configure EC2 to only allow the use of IMDSv2 via AWS CLI:  
```  
aws ec2 modify-instance-metadata-options --instance-id {{instanceId}} --http-tokens required --http-endpoint enabled  
```
>**Note**  
>It is recommended to make sure the EC2's software supports IMDSv2 prior to performing this command.  
>Follow [this link](https://docs.aws.amazon.com/elasticbeanstalk/latest/dg/environments-cfg-ec2-imds.html) for things to take into consideration before switching over to using only IMDSv2, and [this link](https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/instance-metadata-transition-to-version-2.html) for tools and recommendations for performing the transition.",2026-01-13T15:53:23Z,2026-01-13T15:53:25Z,2026-01-13T15:53:25Z,RL-PROD,799988011707,129077d3-369c-558d-be96-9ecb200b98db,us-east-1,AWS
arn:aws:ec2:us-east-1:799988011707:instance/i-0b19035c2d11b02c7,arn:aws:ec2:us-east-1:799988011707:instance/i-0b19035c2d11b02c7,CloudPlatform/VirtualMachine,EC2 Instance,"{ ""aws:elasticmapreduce:job-flow-id"":""j-BQFPQ74KCH4Y"", ""Project"":""migration"", ""environment"":""prod"", ""owner"":""gopinath.kona@RalphLauren.com"", ""region"":""na"", ""Deploy"":""emr-master-trans"", ""costcenter"":""1000100527"", ""role"":""emr"", ""application"":""emr"", ""aws:elasticmapreduce:instance-group-role"":""CORE"" }",7741cf6a-c274-53f0-a818-5a4d0306d637,"492448e6-282b-5e8b-af68-9fcac93af40e, f91014ba-8e7b-5725-ae1c-bdc240824aec",AWS,dfa75071-9832-40f1-83f6-fdf0bb6c6f04,EC2-013,EC2 instance should use an instance profile,Cloud Configuration Rule,MEDIUM,Pass,1.18 Ensure IAM instance roles are used for AWS resource access from instances - Level 2 (Automated),1 Identity and Access Management,CIS AWS v2.0.0,"Perform the following command to associate an instance profile with an EC2 instance via AWS CLI:    
```
aws ec2 associate-iam-instance-profile --iam-instance-profile Name=<instanceProfileName> --instance-id {{instanceId}}
```",2026-01-13T15:53:23Z,2026-01-13T15:53:26Z,2026-01-13T15:53:26Z,RL-PROD,799988011707,129077d3-369c-558d-be96-9ecb200b98db,us-east-1,AWS
rl-dna-na-prod-dss-eks-cluster-managed-ng-Node,arn:aws:ec2:us-east-1:799988011707:instance/i-073489467906a6780,CloudPlatform/VirtualMachine,EC2 Instance,"{ ""k8s.io/cluster-autoscaler/enabled"":""true"", ""application"":""dataiku"", ""aws:ec2:fleet-id"":""fleet-6d9d8fbd-3ca6-ce07-2e98-a300c543b204"", ""eks:cluster-name"":""rl-dna-na-prod-dss-eks-cluster"", ""k8s.io/cluster-autoscaler/rl-dna-na-prod-dss-eks-cluster"":""owned"", ""kubernetes.io/cluster/rl-dna-na-prod-dss-eks-cluster"":""owned"", ""alpha.eksctl.io/nodegroup-type"":""managed"", ""aws:ec2launchtemplate:version"":""1"", ""alpha.eksctl.io/nodegroup-name"":""managed-ng"", ""nodegroup-role"":""worker"", ""aws:ec2launchtemplate:id"":""lt-0d4e9c71fb4d523a0"", ""Project"":""dataiku"", ""aws:autoscaling:groupName"":""eks-managed-ng-02cd1861-38d3-0a95-b12c-1e1a62784554"", ""aws:eks:cluster-name"":""rl-dna-na-prod-dss-eks-cluster"", ""Name"":""rl-dna-na-prod-dss-eks-cluster-managed-ng-Node"", ""Project Owner"":""nandakumar.sudha@ralphlauren.com"", ""Cost Center"":""1000100527"", ""eks:nodegroup-name"":""managed-ng"" }",7741cf6a-c274-53f0-a818-5a4d0306d637,"492448e6-282b-5e8b-af68-9fcac93af40e, f91014ba-8e7b-5725-ae1c-bdc240824aec",AWS,a3a27840-3ef8-493a-b694-6d948af563e8,EC2-004,EC2 instance should use IMDSv2,Cloud Configuration Rule,HIGH,Pass,5.6 Ensure that EC2 Metadata Service only allows IMDSv2 - Level 1 (Automated),5 Networking,CIS AWS v2.0.0,"Perform the following command to configure EC2 to only allow the use of IMDSv2 via AWS CLI:  
```  
aws ec2 modify-instance-metadata-options --instance-id {{instanceId}} --http-tokens required --http-endpoint enabled  
```
>**Note**  
>It is recommended to make sure the EC2's software supports IMDSv2 prior to performing this command.  
>Follow [this link](https://docs.aws.amazon.com/elasticbeanstalk/latest/dg/environments-cfg-ec2-imds.html) for things to take into consideration before switching over to using only IMDSv2, and [this link](https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/instance-metadata-transition-to-version-2.html) for tools and recommendations for performing the transition.",2026-01-13T15:53:23Z,2026-01-13T15:53:25Z,2026-01-13T15:53:25Z,RL-PROD,799988011707,f8b85636-346e-5626-9df6-d1992eaca1e4,us-east-1,AWS
rl-dna-na-prod-dss-eks-cluster-managed-ng-Node,arn:aws:ec2:us-east-1:799988011707:instance/i-073489467906a6780,CloudPlatform/VirtualMachine,EC2 Instance,"{ ""alpha.eksctl.io/nodegroup-name"":""managed-ng"", ""k8s.io/cluster-autoscaler/rl-dna-na-prod-dss-eks-cluster"":""owned"", ""Project"":""dataiku"", ""aws:autoscaling:groupName"":""eks-managed-ng-02cd1861-38d3-0a95-b12c-1e1a62784554"", ""aws:ec2launchtemplate:id"":""lt-0d4e9c71fb4d523a0"", ""k8s.io/cluster-autoscaler/enabled"":""true"", ""alpha.eksctl.io/nodegroup-type"":""managed"", ""eks:cluster-name"":""rl-dna-na-prod-dss-eks-cluster"", ""nodegroup-role"":""worker"", ""Project Owner"":""nandakumar.sudha@ralphlauren.com"", ""Name"":""rl-dna-na-prod-dss-eks-cluster-managed-ng-Node"", ""aws:ec2:fleet-id"":""fleet-6d9d8fbd-3ca6-ce07-2e98-a300c543b204"", ""application"":""dataiku"", ""Cost Center"":""1000100527"", ""eks:nodegroup-name"":""managed-ng"", ""aws:ec2launchtemplate:version"":""1"", ""aws:eks:cluster-name"":""rl-dna-na-prod-dss-eks-cluster"", ""kubernetes.io/cluster/rl-dna-na-prod-dss-eks-cluster"":""owned"" }",7741cf6a-c274-53f0-a818-5a4d0306d637,"492448e6-282b-5e8b-af68-9fcac93af40e, f91014ba-8e7b-5725-ae1c-bdc240824aec",AWS,dfa75071-9832-40f1-83f6-fdf0bb6c6f04,EC2-013,EC2 instance should use an instance profile,Cloud Configuration Rule,MEDIUM,Pass,1.18 Ensure IAM instance roles are used for AWS resource access from instances - Level 2 (Automated),1 Identity and Access Management,CIS AWS v2.0.0,"Perform the following command to associate an instance profile with an EC2 instance via AWS CLI:    
```
aws ec2 associate-iam-instance-profile --iam-instance-profile Name=<instanceProfileName> --instance-id {{instanceId}}
```",2026-01-13T15:53:23Z,2026-01-13T15:53:25Z,2026-01-13T15:53:25Z,RL-PROD,799988011707,f8b85636-346e-5626-9df6-d1992eaca1e4,us-east-1,AWS
arn:aws:ec2:us-east-1:799988011707:instance/i-03982320c0230ee32,arn:aws:ec2:us-east-1:799988011707:instance/i-03982320c0230ee32,CloudPlatform/VirtualMachine,EC2 Instance,"{ ""owner"":""gopinath.kona@RalphLauren.com"", ""application"":""emr"", ""aws:elasticmapreduce:instance-group-role"":""CORE"", ""environment"":""prod"", ""Project"":""migration"", ""aws:elasticmapreduce:job-flow-id"":""j-BQFPQ74KCH4Y"", ""costcenter"":""1000100527"", ""region"":""na"", ""role"":""emr"", ""Deploy"":""emr-master-trans"" }",7741cf6a-c274-53f0-a818-5a4d0306d637,"492448e6-282b-5e8b-af68-9fcac93af40e, f91014ba-8e7b-5725-ae1c-bdc240824aec",AWS,a3a27840-3ef8-493a-b694-6d948af563e8,EC2-004,EC2 instance should use IMDSv2,Cloud Configuration Rule,HIGH,Fail,5.6 Ensure that EC2 Metadata Service only allows IMDSv2 - Level 1 (Automated),5 Networking,CIS AWS v2.0.0,"Perform the following command to configure EC2 to only allow the use of IMDSv2 via AWS CLI:  
```  
aws ec2 modify-instance-metadata-options --instance-id {{instanceId}} --http-tokens required --http-endpoint enabled  
```
>**Note**  
>It is recommended to make sure the EC2's software supports IMDSv2 prior to performing this command.  
>Follow [this link](https://docs.aws.amazon.com/elasticbeanstalk/latest/dg/environments-cfg-ec2-imds.html) for things to take into consideration before switching over to using only IMDSv2, and [this link](https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/instance-metadata-transition-to-version-2.html) for tools and recommendations for performing the transition.",2026-01-13T15:53:21Z,2026-01-13T15:53:23Z,2026-01-13T15:53:23Z,RL-PROD,799988011707,6a8cc019-0680-5ab5-a644-c8fa77d5db1c,us-east-1,AWS
arn:aws:ec2:us-east-1:799988011707:instance/i-03982320c0230ee32,arn:aws:ec2:us-east-1:799988011707:instance/i-03982320c0230ee32,CloudPlatform/VirtualMachine,EC2 Instance,"{ ""Deploy"":""emr-master-trans"", ""application"":""emr"", ""costcenter"":""1000100527"", ""environment"":""prod"", ""role"":""emr"", ""aws:elasticmapreduce:job-flow-id"":""j-BQFPQ74KCH4Y"", ""owner"":""gopinath.kona@RalphLauren.com"", ""region"":""na"", ""aws:elasticmapreduce:instance-group-role"":""CORE"", ""Project"":""migration"" }",7741cf6a-c274-53f0-a818-5a4d0306d637,"492448e6-282b-5e8b-af68-9fcac93af40e, f91014ba-8e7b-5725-ae1c-bdc240824aec",AWS,dfa75071-9832-40f1-83f6-fdf0bb6c6f04,EC2-013,EC2 instance should use an instance profile,Cloud Configuration Rule,MEDIUM,Pass,1.18 Ensure IAM instance roles are used for AWS resource access from instances - Level 2 (Automated),1 Identity and Access Management,CIS AWS v2.0.0,"Perform the following command to associate an instance profile with an EC2 instance via AWS CLI:    
```
aws ec2 associate-iam-instance-profile --iam-instance-profile Name=<instanceProfileName> --instance-id {{instanceId}}
```",2026-01-13T15:53:21Z,2026-01-13T15:53:22Z,2026-01-13T15:53:22Z,RL-PROD,799988011707,6a8cc019-0680-5ab5-a644-c8fa77d5db1c,us-east-1,AWS
